sha,commit/committer/date,commit/message,committer/login,committer/id,InsertQuery,,,,,
9684df02dc9c0f154b0723b5d758aa0767d6c319,2016-04-24T01:27:47Z,push our json file,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('9684df02dc9c0f154b0723b5d758aa0767d6c319','16145028','YiqiaoXu-Joe','2016-04-24T01:27:47Z','push our json file');"
ae3bbcc1b515942ad053d31ad7d32356771acfae,2016-04-24T00:57:35Z,add some features,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('ae3bbcc1b515942ad053d31ad7d32356771acfae','13953290','asaha1','2016-04-24T00:57:35Z','add some features');"
8d17426a51afc53d216654671ed4842ae3bacb8b,2016-04-24T00:30:53Z,Merge branch \'master\' of github.com:arnabsaha1011/mypackse,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('8d17426a51afc53d216654671ed4842ae3bacb8b','16628107','yemao616','2016-04-24T00:30:53Z','Merge branch \'master\' of github.com:arnabsaha1011/mypackse');"
46b4ea6c669952b0d581645d9aeaf38708a541ee,2016-04-24T00:29:45Z,add features,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('46b4ea6c669952b0d581645d9aeaf38708a541ee','16628107','yemao616','2016-04-24T00:29:45Z','add features');"
882b8b72256bd03669601b3d7fdc763ed90092aa,2016-04-24T00:25:41Z,add features,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('882b8b72256bd03669601b3d7fdc763ed90092aa','16628107','yemao616','2016-04-24T00:25:41Z','add features');"
394dfc52521d9e61754f76047dcfd0c8a0f0ff12,2016-04-24T00:09:17Z,Delete output.txt,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('394dfc52521d9e61754f76047dcfd0c8a0f0ff12','16628107','yemao616','2016-04-24T00:09:17Z','Delete output.txt');"
c220d1cb8f94e7e6c7abd2dbde987d41fe232cb1,2016-04-23T23:55:54Z,"connect to mysql and insert, ignore the Null pointer error, it doesn\'t mater",asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('c220d1cb8f94e7e6c7abd2dbde987d41fe232cb1','13953290','asaha1','2016-04-23T23:55:54Z','connect to mysql and insert, ignore the Null pointer error, it doesn\'t mater');"
9e7f0fe9c6bf5c6573d60bcd383c86df82744703,2016-04-23T22:53:34Z,Updating output.txt,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('9e7f0fe9c6bf5c6573d60bcd383c86df82744703','13953290','asaha1','2016-04-23T22:53:34Z','Updating output.txt');"
c4bc2292279388c41e378f6d20bf5ab5223ec266,2016-04-23T21:57:20Z,Adding sql files,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('c4bc2292279388c41e378f6d20bf5ab5223ec266','13953290','asaha1','2016-04-23T21:57:20Z','Adding sql files');"
ceb55b6b4f27ea9a98cdbb7d7bb08f2dac235e6e,2016-04-22T15:10:13Z,Adding ppt,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('ceb55b6b4f27ea9a98cdbb7d7bb08f2dac235e6e','13953290','asaha1','2016-04-22T15:10:13Z','Adding ppt');"
